,astrocyte,endothelial cell,ependymal cell,fibroblast,microglial cell,mural cell,neuron,oligodendrocyte
57,-4.4225373,-4.453024,-4.7703285,-4.506641,-4.249993,-4.4539566,-5.1113815,-4.2806973
58,-4.1776743,-4.6122346,-4.0736604,-4.310253,-3.9582627,-3.912683,-4.328972,-4.594821
59,-3.8603218,-4.120923,-4.714026,-4.161291,-3.871804,-3.816134,-5.0376706,-3.9269593
60,-4.927237,-4.363023,-4.863501,-3.1525037,-3.6453776,-3.9487934,-3.275701,-4.381746
61,-3.8890066,-3.8987103,-3.998209,-3.9485257,-3.8066723,-3.9353194,-5.4489455,-3.8989143
62,-3.805577,-3.808044,-4.281658,-3.8212047,-3.831169,-3.7926953,-5.4449153,-3.8358555
63,-4.1308537,-4.521986,-5.303707,-4.416802,-4.1044836,-4.3994975,-5.686728,-4.429282
64,-3.8151817,-3.8681848,-4.0456276,-3.8056529,-3.817815,-3.8722777,-5.024145,-3.8357167
65,-4.075089,-4.2627215,-4.4565315,-4.4294486,-3.9625192,-4.003996,-4.2477536,-4.4739065
66,-3.738859,-4.4232316,-4.1760907,-4.212135,-3.77597,-3.5104086,-4.1385455,-4.0930457
67,-4.5055413,-4.8241878,-4.969973,-4.622406,-4.412418,-4.603291,-5.536447,-4.6698437
68,-3.8290112,-4.3183837,-4.3921466,-5.237622,-3.8441336,-3.933473,-5.1945796,-3.878664
69,-3.8148208,-4.7052135,-4.346895,-4.346055,-3.9557076,-4.2597003,-4.3801928,-3.9135625
70,-4.2068467,-3.6252742,-4.393849,-4.1190286,-4.1186085,-4.6873274,-4.0467453,-4.2719073
71,-3.8625774,-4.5278144,-4.1251507,-4.671658,-3.8242185,-4.1730366,-4.85919,-3.8566463
72,-4.1326675,-4.5110517,-3.7361846,-4.288353,-4.1247015,-4.2626467,-4.519016,-4.298143
73,-4.1900787,-4.060764,-4.553968,-4.2273293,-3.8818169,-4.1510024,-4.9127913,-4.0381427
74,-4.0220513,-4.4769716,-4.6460986,-4.2306643,-4.0416665,-4.3461,-5.6541357,-4.6166496
75,-4.2136083,-4.126579,-4.7062297,-4.098385,-4.243905,-4.517661,-5.9527984,-4.636075
76,-3.714628,-4.055078,-4.757369,-3.8814635,-3.7838297,-3.6867747,-5.0494223,-3.8930297
77,-3.939416,-4.067873,-4.44569,-4.323146,-3.8455458,-3.613959,-5.2878613,-3.87692
78,-3.7782314,-3.808044,-3.857435,-3.8056529,-3.7986894,-3.7926953,-4.1824293,-3.8308752
79,-4.051863,-4.3212457,-3.9243038,-4.0492373,-4.156029,-4.502159,-5.0614595,-4.172458
80,-3.852866,-3.9811115,-4.5213284,-4.023827,-3.8580477,-4.0129952,-5.5290055,-3.9728603
81,-4.1817036,-4.692314,-4.88276,-4.516611,-4.2880907,-4.75895,-5.5967975,-4.128462
82,-3.8973782,-4.462994,-4.6793585,-4.475899,-5.599211,-4.3448405,-4.582338,-3.9530716
83,-3.8236594,-2.0085747,-4.063779,-2.7403572,-4.1711454,-4.2413597,-4.075224,-3.8531485
84,-4.465723,-4.422651,-5.235622,-4.2995553,-3.8324168,-4.1896887,-5.2390714,-3.8866694
85,-3.8980296,-4.383706,-4.3248158,-4.27284,-5.355123,-4.360419,-4.5494504,-4.364959
86,-3.828147,-4.1521664,-4.2690196,-3.8056529,-4.7949595,-3.9546585,-3.9831078,-3.8615012
87,-5.0457287,-4.473324,-4.9649634,-4.5746875,-4.2609653,-4.3239284,-5.65321,-4.7696886
88,-3.795385,-4.4754467,-4.2109876,-4.4190125,-3.8920174,-4.690998,-4.550247,-3.977596
89,-3.9700053,-4.424921,-4.7660155,-4.537627,-3.9718552,-4.391928,-5.500321,-3.985148
90,-4.379759,-4.206849,-4.449191,-4.4722915,-4.108553,-4.1577926,-5.346629,-4.104848
91,-3.840808,-4.2858953,-4.120377,-4.014149,-4.960855,-4.1084385,-4.174839,-3.8549786
92,-4.5348387,-4.597664,-4.9477105,-4.5320554,-4.441048,-4.612355,-5.690579,-4.787409
93,-4.4678183,-4.560742,-4.810681,-4.4835954,-4.3767695,-4.5066137,-5.5566306,-4.5815973
94,-3.9883459,-4.3573284,-4.6928554,-4.0882893,-3.9727528,-4.069243,-5.542269,-4.242033
95,-4.0611024,-3.8655472,-4.9103737,-3.8056529,-3.8271673,-3.8312569,-4.3775473,-3.8490267
96,-3.8940454,-4.3313875,-4.6841974,-4.4259906,-4.351158,-3.2726214,-4.1175456,-3.9143274
97,-4.413957,-5.3995023,-4.6820426,-4.485169,-4.295902,-4.424106,-4.4183354,-3.9273717
98,-3.9429202,-4.2869377,-4.478297,-3.9607458,-3.9191587,-4.163546,-5.5492373,-3.9651165
99,-3.9453063,-4.3024063,-4.3832946,-4.0545034,-3.9638813,-4.2140384,-5.525904,-4.00292
100,-4.315945,-4.3653765,-4.697529,-4.1605206,-4.1115,-4.2206707,-5.53869,-4.1751204
101,-4.4384437,-4.7905107,-4.923108,-4.8237405,-4.372951,-4.7562613,-5.581923,-4.5578103
102,-3.8012784,-4.0201464,-5.1243563,-4.1273236,-3.802643,-3.9649353,-4.3096547,-3.8267062
103,-3.78625,-3.808044,-3.857435,-3.8056529,-3.6922708,-3.6692603,-3.9741266,-3.8247979
104,-4.940543,-4.6141243,-5.1160135,-4.551999,-4.3781786,-4.5631886,-5.6654663,-4.62707
105,-4.114911,-0.96837264,-4.225942,-4.244142,-3.85443,-4.177588,-5.5730677,-3.9064627
106,-4.092593,-4.5325212,-5.4216676,-3.8858614,-3.8126917,-4.2491293,-4.503822,-3.853653
107,-3.8899586,-4.3744645,-4.5230665,-4.39033,-5.55368,-4.2872767,-4.3773117,-3.9432795
